Date,Land,pagePath,Number of Pages,Sessions,Users,Duration
2023-10-31,Germany,/marktplatz?tab=0&ptgId=11,2,1,1,66
2023-10-31,Germany,/marktplatz?tab=0&productId=154,5,1,1,32
2023-10-31,Germany,/marktplatz,13,3,3,64
2023-10-31,Germany,/marktplatz?tab=0&productId=317,4,1,1,63
2023-10-31,Germany,/marktplatz?tab=0&productId=237,2,1,1,9
2023-10-31,Germany,/marktplatz?tab=0&productId=143,6,2,2,88
2023-10-31,Germany,/marktplatz?tab=0&appSubPro=210&productId=210,3,1,1,30
2023-10-31,Germany,/marktplatz?tab=0,22,6,5,191
2023-10-31,Germany,/marktplatz?tab=0&productId=210,3,2,2,13
2023-10-31,Germany,/marktplatz?tab=0&ptgId=59,3,2,2,43
2023-10-31,Germany,/marktplatz?tab=0&search=CAFM,3,1,1,206
2023-10-31,Germany,/organisations/202/information,3,1,1,18
2023-10-31,Germany,/login,7,2,2,96
2023-10-31,Germany,/marktplatz?tab=0&appSubPro=44&productId=44,2,1,1,1
2023-10-31,Germany,/marktplatz?tab=0&search=CAFM&rating=0,2,1,1,219
2023-10-31,Germany,/marktplatz?tab=0&ptgId=59&productId=23,2,2,2,206
2023-10-31,Germany,/marktplatz?tab=0&ptgId=59&productId=105,2,2,2,251
2023-10-31,Germany,/marktplatz?tab=0&productId=66,5,1,1,58
2023-10-30,Germany,/profil/commonfeatures,6,3,2,37
2023-10-30,Germany,/marktplatz?tab=1,5,3,2,23
2023-10-30,Germany,/organisations/9/information,5,2,2,300
2023-10-30,Germany,/organisations/9/products/13/variants/19,3,2,2,29
2023-10-30,Germany,/marktplatz?tab=0&search=buildup,14,1,1,82
2023-10-30,Germany,/marktplatz?tab=0&search=buildup&attr=153,4,1,1,131
2023-10-30,Germany,/organisations/9/products,4,2,2,6
2023-10-30,Germany,/organisations/9/products/13,4,2,2,187
2023-10-30,Germany,/marktplatz?tab=0&productId=66,6,5,3,60
2023-10-30,Germany,/profil/nutzerverwaltung,3,2,2,8
2023-10-30,Germany,/marktplatz?tab=0&appSubPro=237&productId=237,2,2,2,3
2023-10-30,Germany,/marktplatz,27,11,8,477
2023-10-30,Germany,/marktplatz?tab=2,6,2,1,190
2023-10-30,Germany,/registry,5,5,3,207
2023-10-30,Germany,/marktplatz?tab=0&productId=3,6,3,3,50
2023-10-30,Germany,/marktplatz?tab=0&search=buildup&attr=2&attr=7&attr=10&attr=12&attr=126&attr=11&attr=8&attr=129&attr=13&attr=9&attr=5&attr=114&attr=116&attr=4,2,1,1,48
2023-10-30,Germany,/marktplatz?tab=0&search=buildup&attr=2&attr=7&attr=10&attr=12,2,1,1,4
2023-10-30,Germany,/marktplatz?tab=0&search=buildup&attr=6,2,1,1,7
2023-10-30,Germany,/marktplatz?tab=0&search=buildup&certificationType=ATTRIBUTE_CERT,2,1,1,15
2023-10-30,Germany,/login,12,5,3,336
2023-10-30,Germany,/marktplatz?tab=0,52,28,20,651
2023-10-30,Germany,/organisations/59/products/79,2,1,1,23
2023-10-30,Germany,/organisations/9/products/13/variants/19/version/19/edit,2,2,2,10
2023-10-30,Germany,/profil/reviewReports,2,2,2,15
2023-10-30,Germany,/marktplatz?tab=0&search=buildup&attr=2&attr=7&attr=10,2,1,1,6
2023-10-30,Germany,/marktplatz?tab=0&search=buildup&attr=2,2,1,1,4
2023-10-30,Germany,/marktplatz?tab=0&search=buildup&attr=153&productId=278,2,1,1,5
2023-10-30,Germany,/marktplatz?tab=0&search=RIB%20IMS&productId=186,2,1,1,38
2023-10-30,Germany,/marktplatz?tab=0&search=buildup&attr=2&attr=7&attr=10&attr=12&attr=11&attr=8&attr=13&attr=9&attr=5&attr=114&attr=116&attr=4,2,1,1,8
2023-10-30,Germany,/marktplatz?tab=0&search=RIB%20IMS,2,1,1,24
2023-10-30,Germany,/marktplatz?tab=0&category=APP,2,2,2,34
2023-10-30,Germany,/marktplatz?tab=0&attr=24,2,1,1,94
2023-10-30,Germany,/marktplatz?tab=0&productId=237,11,5,4,137
2023-10-30,Germany,/marktplatz?tab=0&productId=143,9,6,5,273
2023-10-30,Germany,/marktplatz?tab=0&productId=154,8,5,3,1877
2023-10-30,Germany,/profil/settings,9,4,2,364
2023-10-28,Germany,/marktplatz?tab=0,3,1,1,63
2023-10-27,Germany,/organisations/2/features,2,2,1,5
2023-10-27,Germany,/marktplatz?tab=0&search=Bau%20-%20M%C3%A4ngel&productId=305,2,1,1,132
2023-10-27,Germany,/marktplatz?tab=0&appSubPro=295&productId=295,2,1,1,2
2023-10-27,Germany,/marktplatz?tab=0&search=Bau%20-%20M%C3%A4ngel,2,1,1,122
2023-10-27,Germany,/marktplatz?tab=0&search=DIGIWO,2,1,1,101
2023-10-27,Germany,/marktplatz?tab=0&search=Bimsync,2,1,1,50
2023-10-27,Italy,/marktplatz?tab=0,2,1,1,34
2023-10-27,Germany,/marktplatz?tab=0,23,11,9,198
2023-10-27,Germany,/registry,2,2,2,93
2023-10-27,Germany,/marktplatz?tab=0&search=Oracle%20IoT%20Platform,2,2,2,35
2023-10-27,Germany,/organisations/2/productTypeGroups,2,2,1,49
2023-10-27,Germany,/organisations/2/information,3,2,1,95
2023-10-27,Germany,/profil/settings,3,1,1,43
2023-10-27,Germany,/organisations/251/products,4,1,1,9
2023-10-27,Canada,/,1,1,1,5
2023-10-27,Germany,/marktplatz?tab=0&productId=237,5,3,2,174
2023-10-27,Germany,/organisations/251/information,5,1,1,68
2023-10-27,Germany,/organisations/251/products/295,5,1,1,46
2023-10-27,Germany,/profil/commonfeatures,3,1,1,59
2023-10-27,Germany,/marktplatz?tab=0&productId=154,4,1,1,15
2023-10-27,Germany,/marktplatz?tab=0&attr=102,4,1,1,53
2023-10-27,Germany,/marktplatz?tab=0&attr=103,3,1,1,19
2023-10-27,Germany,/marktplatz?tab=0&attr=135,3,1,1,22
2023-10-27,Germany,/marktplatz,17,6,5,202
2023-10-27,Germany,/marktplatz?tab=0&search=bild,3,1,1,10
2023-10-27,Germany,/marktplatz?tab=0&search=bild&productId=295,3,1,1,27
2023-10-27,Germany,/organisations/251/products/295/edit,3,1,1,4
2023-10-26,Germany,/marktplatz?tab=0&productId=143,2,2,2,3
2023-10-26,Germany,/profil/settings,7,3,2,237
2023-10-26,Germany,/marktplatz?tab=0&attr=17,2,1,1,98
2023-10-26,Germany,/marktplatz?tab=0,24,12,10,245
2023-10-26,Germany,/marktplatz?tab=0&orgId=20,2,1,1,42
2023-10-26,Germany,/marktplatz,12,8,7,166
2023-10-26,Germany,/marktplatz?tab=0&search=Spectiva,2,1,1,114
2023-10-26,Germany,/profil/commonfeatures,2,2,2,25
2023-10-26,Germany,/registry,2,1,1,40
2023-10-26,Germany,/marktplatz?tab=1,2,2,1,25
2023-10-26,Germany,/login,3,3,2,93
2023-10-26,Luxembourg,/marktplatz?tab=0,2,2,1,42
2023-10-25,Germany,/marktplatz?tab=0&search=Revit%20&ptgId=45,3,1,1,26
2023-10-25,Canada,/,1,1,1,2
2023-10-25,Germany,/organisations/49/products/160,3,1,1,7
2023-10-25,Germany,/organisations/49/information,3,1,1,21
2023-10-25,Germany,/marktplatz?tab=0&productId=143,3,2,2,19
2023-10-25,Germany,/marktplatz?tab=0&ptgId=57,3,1,1,64
2023-10-25,Germany,/login,2,2,2,34
2023-10-25,Germany,/marktplatz?tab=1,4,1,1,42
2023-10-25,Germany,/marktplatz?tab=0&search=Revit%20,4,1,1,119
2023-10-25,Germany,/marktplatz?tab=0&search=California.pro,4,1,1,102
2023-10-25,Germany,/marktplatz?tab=2,8,3,3,71
2023-10-25,Germany,/marktplatz?tab=0&orgId=197&search=T%C3%9CV%20S%C3%9CD%20Advimo%20GmbH,2,1,1,41
2023-10-25,Germany,/marktplatz?tab=0&search=Concular,2,1,1,67
2023-10-25,Germany,/marktplatz?tab=0&orgId=77,2,1,1,2
2023-10-25,Germany,/organisations/183/information,2,1,1,22
2023-10-25,Germany,/marktplatz?tab=2&search=liNear%20GmbH&organisationId=77,2,1,1,6
2023-10-25,Germany,/marktplatz?tab=2&search=liNear%20GmbH,2,1,1,15
2023-10-25,Germany,/marktplatz?tab=0&search=easy,2,1,1,19
2023-10-25,Germany,/marktplatz?tab=0&search=Hexagon,2,1,1,42
2023-10-25,Germany,/marktplatz?tab=0&search=ELITECAD%20ARCHITEKTUR,2,1,1,25
2023-10-25,Germany,/marktplatz,14,8,6,19
2023-10-25,Germany,/marktplatz?tab=0,30,13,10,283
2023-10-25,Germany,/marktplatz?tab=0&search=California.pro&productId=198,2,1,1,13
2023-10-25,Germany,/marktplatz?tab=0&search=CAALA%20Pro%20%26%20CAALA%20Expert,2,1,1,36
2023-10-25,Germany,/marktplatz?tab=0&productId=249,2,1,1,60
2023-10-25,Germany,/marktplatz?tab=0&orgId=77&search=liNear%20GmbH,2,2,1,12
2023-10-24,Germany,/organisations/41/products/195/variants/258/version/263/edit,3,2,1,74
2023-10-24,Germany,/marktplatz?tab=0&attr=91,2,1,1,20
2023-10-24,Germany,/marktplatz?tab=0&productId=1,2,1,1,6
2023-10-24,Germany,/marktplatz?tab=0&productId=317,4,1,1,7
2023-10-24,United States,/marktplatz?tab=0,2,2,2,6
2023-10-24,Germany,/organisations/165/productTypeGroups/45/versions/56,5,1,1,47
2023-10-24,Germany,/organisations/2/productTypeGroups/1,3,1,1,34
2023-10-24,Germany,/organisations/165/productTypeGroups/45,3,1,1,7
2023-10-24,Germany,/organisations/165/productTypeGroups,3,1,1,84
2023-10-24,Germany,/marktplatz?tab=0&search=orca,3,1,1,29
2023-10-24,Germany,/marktplatz?tab=0&search=ORCA%20AVA&productId=195,3,1,1,86
2023-10-24,Germany,/marktplatz?tab=0&search=ORCA%20AVA,3,1,1,24
2023-10-24,Germany,/marktplatz?tab=0&productId=73,3,1,1,17
2023-10-24,Germany,/marktplatz?tab=0&productId=70,3,1,1,11
2023-10-24,Germany,/marktplatz?tab=0&productId=250,3,1,1,22
2023-10-24,Germany,/marktplatz?tab=0&productId=204,2,2,2,11
2023-10-24,Germany,/marktplatz?tab=0,42,5,4,454
2023-10-24,Germany,/marktplatz?tab=0&productId=212,3,1,1,10
2023-10-24,Germany,/marktplatz?tab=0&productId=154,3,1,1,31
2023-10-24,Germany,/marktplatz?tab=0&productId=143,3,1,1,68
2023-10-24,Germany,/marktplatz,7,4,3,35
2023-10-24,Germany,/marktplatz?tab=0&productId=2,2,1,1,8
2023-10-24,Germany,/organisations/165/productTypeGroups/45/versions/45,2,1,1,19
2023-10-24,Germany,/marktplatz?tab=0&productId=229,2,1,1,4
2023-10-24,Germany,/marktplatz?tab=0&productId=32,2,1,1,8
2023-10-24,Germany,/marktplatz?tab=0&productId=288,2,1,1,8
2023-10-24,Germany,/marktplatz?tab=0&productId=290,2,1,1,11
2023-10-24,Germany,/marktplatz?tab=0&productId=292,2,1,1,11
2023-10-24,Germany,/marktplatz?tab=0&productId=293,2,1,1,5
2023-10-24,Germany,/marktplatz?tab=0&productId=294,2,1,1,23
2023-10-24,Germany,/organisations/41/products,2,1,1,2
2023-10-24,Germany,/organisations/41/information,2,1,1,39
2023-10-24,Germany,/organisations/2/productTypeGroups/1/edit,2,1,1,31
2023-10-24,Germany,/marktplatz?tab=0&productId=249,2,1,1,14
2023-10-24,Germany,/marktplatz?tab=0&productId=30,2,1,1,4
2023-10-24,Germany,/marktplatz?tab=0&productId=37,2,1,1,6
2023-10-24,Germany,/marktplatz?tab=0&productId=268,2,1,1,6
2023-10-24,Germany,/marktplatz?tab=0&productId=43,2,1,1,4
2023-10-24,Germany,/marktplatz?tab=0&productId=44,2,1,1,4
2023-10-24,Germany,/marktplatz?tab=0&productId=51,2,1,1,12
2023-10-24,Germany,/marktplatz?tab=0&productId=53,2,1,1,3
2023-10-24,Germany,/marktplatz?tab=0&productId=64,2,1,1,3
2023-10-24,Germany,/marktplatz?tab=0&productId=66,2,1,1,22
2023-10-24,Germany,/marktplatz?tab=0&productId=94,2,1,1,5
2023-10-24,Germany,/marktplatz?tab=0&search=oracle,2,1,1,14
2023-10-24,Germany,/marktplatz?tab=0&search=orca&productId=195,2,2,1,5
2023-10-24,Germany,/organisations/2/information,2,1,1,86
2023-10-24,Germany,/marktplatz?tab=0&productId=269,2,1,1,7
2023-10-24,Germany,/marktplatz?tab=0&productId=289,2,1,1,12
2023-10-24,Germany,/marktplatz?tab=0&productId=265,2,1,1,6
2023-10-24,Germany,/marktplatz?tab=0&productId=256,2,1,1,3
2023-10-24,Germany,/marktplatz?tab=0&productId=26,2,1,1,9
2023-10-24,Germany,/organisations/41/products/195/variants/258,2,1,1,10
2023-10-24,Germany,/organisations/41/products/195,2,1,1,2
2023-10-24,United States,/marktplatz,3,3,3,12
2023-10-24,Germany,/marktplatz?tab=0&productId=253,2,1,1,46
2023-10-23,Germany,/organisations/251/information,5,1,1,133
2023-10-23,Germany,/marktplatz?tab=0&search=easyVO%20Waste%20Management&productId=322,2,2,1,14
2023-10-23,Germany,/marktplatz?tab=0&search=Liv,2,1,1,237
2023-10-23,Switzerland,/marktplatz?tab=0,4,1,1,24
2023-10-23,Germany,/marktplatz?tab=0&productId=237,2,2,1,13
2023-10-23,Germany,/marktplatz?tab=0&productId=143,2,2,2,71
2023-10-23,Germany,/marktplatz?tab=0&attr=12,2,2,1,45
2023-10-23,Germany,/marktplatz?tab=0&appSubPro=295&productId=295,2,2,1,310
2023-10-23,Germany,/login,2,2,2,61
2023-10-23,Germany,/marktplatz?tab=0&search=BILD%20%2B%20Dokument-Test,5,1,1,33
2023-10-23,Germany,/organisations/251/products/295/variants/385/version/393/edit,12,1,1,88
2023-10-23,Germany,/marktplatz?tab=0&search=Concular&productId=320,2,1,1,9
2023-10-23,Switzerland,/marktplatz?tab=0&ptgId=6,2,2,1,48
2023-10-23,Germany,/marktplatz?tab=0&search=BILD%20%2B%20Dokument-Test&productId=295,3,1,1,68
2023-10-23,Germany,/marktplatz?tab=0&search=easyVO%20Waste%20Management,3,2,1,17
2023-10-23,Germany,/marktplatz?tab=0,33,18,10,1743
2023-10-23,Germany,/organisations/251/products/295/variants/385,15,1,1,289
2023-10-23,Germany,/marktplatz?tab=1,3,1,1,12
2023-10-23,Germany,/organisations/251/products,4,1,1,18
2023-10-23,Germany,/organisations/251/products/295,4,1,1,4
2023-10-23,Germany,/marktplatz?tab=0&category=APP,3,2,2,24
2023-10-23,Switzerland,/marktplatz,2,1,1,1
2023-10-23,Germany,/marktplatz?tab=0&search=Concular,3,1,1,214
2023-10-23,Germany,/marktplatz,17,12,8,49
2023-10-22,China,/marktplatz,1,2,2,13
2023-10-22,Canada,/marktplatz?tab=0,1,1,1,3
2023-10-22,Canada,/marktplatz,1,1,1,16
2023-10-21,Germany,/marktplatz?tab=0&attr=80,3,1,1,6
2023-10-21,Germany,/marktplatz?tab=0&attr=81,2,1,1,3
2023-10-21,Germany,/marktplatz?tab=0,11,5,1,875
2023-10-20,Germany,/marktplatz?tab=0,6,4,3,40
2023-10-20,Germany,/marktplatz?tab=0&search=LivAir%20ONE&productId=324,2,2,1,5
2023-10-20,Germany,/marktplatz,4,2,1,24
2023-10-20,Germany,/organisations/266/products/324,4,2,1,601
2023-10-20,Germany,/organisations/266/products/324/variants/428,2,2,1,5
2023-10-20,Germany,/organisations/266/information,2,2,1,127
2023-10-20,Germany,/marktplatz?tab=0&search=LivAir%20ONE,2,2,1,12
2023-10-19,Germany,/marktplatz?tab=0&search=projektmanagement,2,1,1,73
2023-10-19,Germany,/marktplatz,3,4,3,3
2023-10-19,Germany,/marktplatz?tab=0,10,7,6,199
2023-10-19,Germany,/marktplatz?tab=0&attr=79,9,3,2,70
2023-10-19,Germany,/marktplatz?tab=0&search=projektmanagement&attr=114,4,2,1,67
2023-10-19,Germany,/marktplatz?tab=0&productId=317,3,2,2,36
2023-10-18,Germany,/marktplatz?tab=0&ptgId=52,3,1,1,5
2023-10-18,Germany,/marktplatz?tab=0&ptgId=57,3,2,2,36
2023-10-18,Germany,/marktplatz?tab=1,4,3,3,73
2023-10-18,Germany,/marktplatz?tab=1&certificationId=19,2,2,2,59
2023-10-18,Germany,/marktplatz?tab=0&ptgId=7,2,1,1,6
2023-10-18,Germany,/marktplatz?tab=0&ptgId=33,2,1,1,20
2023-10-18,Germany,/marktplatz?tab=0&productId=154,2,2,2,91
2023-10-18,Germany,/marktplatz?tab=0&attr=83,2,1,1,80
2023-10-18,Germany,/login,2,2,2,43
2023-10-18,Germany,/marktplatz,4,5,5,4
2023-10-18,Germany,/marktplatz?tab=0&ptgId=6,1,1,1,74
2023-10-18,Germany,/marktplatz?tab=0&ptgId=45,1,1,1,20
2023-10-18,Germany,/marktplatz?tab=0&ptgId=50&ptgId=19&certificationType=PTG_CERT,1,1,1,17
2023-10-18,Germany,/marktplatz?tab=0&ptgId=52&ptgId=14,1,1,1,36
2023-10-18,Germany,/marktplatz?tab=0&ptgId=52&productId=69,1,1,1,153
2023-10-18,Germany,/marktplatz?tab=0&ptgId=19&ptgId=50,1,1,1,75
2023-10-18,Germany,/marktplatz?tab=0&ptgId=19,1,1,1,6
2023-10-18,Germany,/marktplatz?tab=0&productId=73,1,1,1,29
2023-10-18,Germany,/marktplatz?tab=0&productId=66,1,2,1,17
2023-10-18,Germany,/marktplatz?tab=0&productId=317,1,1,1,10
2023-10-18,Germany,/marktplatz?tab=0&productId=289,1,1,1,69
2023-10-18,Germany,/marktplatz?tab=0&productId=28,1,1,1,131
2023-10-18,Germany,/marktplatz?tab=0&productId=237,1,1,1,11
2023-10-18,Germany,/marktplatz?tab=0&productId=211,1,1,1,6
2023-10-18,Germany,/marktplatz?tab=0&certificationType=PTG_CERT,1,1,1,1
2023-10-18,Germany,/marktplatz?tab=0&attr=83&productId=200,1,1,1,23
2023-10-18,Germany,/marktplatz?tab=0&ptgId=52&productId=186,1,1,1,4
2023-10-18,Germany,/marktplatz?tab=0&ptgId=52&productId=250,1,1,1,5
2023-10-18,Germany,/marktplatz?tab=0&ptgId=52&productId=286,1,1,1,6
2023-10-18,Germany,/marktplatz?tab=0&appSubPro=154&productId=154,1,1,1,24
2023-10-18,Germany,/marktplatz?tab=0&ptgId=52&productId=108,1,1,1,10
2023-10-18,Germany,/marktplatz?tab=0&ptgId=46,1,2,1,94
2023-10-18,Germany,/marktplatz?tab=0&ptgId=50&ptgId=19,1,1,1,7
2023-10-18,Germany,/marktplatz?tab=0&ptgId=29,1,1,1,11
2023-10-18,Germany,/marktplatz?tab=0&ptgId=44,1,1,1,34
2023-10-18,Germany,/marktplatz?tab=0&ptgId=57&productId=151,1,1,1,14
2023-10-18,Germany,/marktplatz?tab=0&ptgId=52&ptgId=14&ptgId=60,1,1,1,5
2023-10-18,Germany,/marktplatz?tab=0&ptgId=33&productId=255,1,1,1,8
2023-10-18,Germany,/marktplatz?tab=0&ptgId=33&productId=200,1,1,1,6
2023-10-18,Germany,/marktplatz?tab=0&ptgId=33&productId=14,1,1,1,8
2023-10-18,Germany,/marktplatz?tab=0&ptgId=33&productId=13,1,1,1,53
2023-10-18,Germany,/marktplatz?tab=0,21,13,12,277
2023-10-17,Germany,/marktplatz?tab=0&productId=256,1,1,1,31
2023-10-17,Germany,/marktplatz?tab=0&ptgId=1&productId=205,1,1,1,11
2023-10-17,Germany,/marktplatz?tab=2,1,1,1,20
2023-10-17,Germany,/marktplatz?tab=2&orgId=120&organisationId=120,1,1,1,9
2023-10-17,Germany,/registry,1,1,1,1
2023-10-17,Germany,/marktplatz?tab=0&productId=143,7,2,2,135
2023-10-17,Germany,/marktplatz?tab=0&attr=117,2,2,2,17
2023-10-17,Germany,/marktplatz?tab=0&ptgId=1,4,1,1,37
2023-10-17,Germany,/marktplatz?tab=0&category=APP,2,1,1,25
2023-10-17,Germany,/marktplatz?tab=0&category=APP&attr=14,2,1,1,178
2023-10-17,Germany,/marktplatz?tab=0&category=CONTENT,2,1,1,7
2023-10-17,Germany,/marktplatz?tab=0&productId=317,2,2,2,22
2023-10-17,Germany,/profil/konto,3,1,1,53
2023-10-17,Germany,/marktplatz?tab=0&ptgId=1&attr=27,2,1,1,8
2023-10-17,Germany,/profil/settings,2,1,1,5
2023-10-17,Germany,/marktplatz?tab=0&attr=79,3,1,1,43
2023-10-17,Germany,/marktplatz,16,8,5,31
2023-10-17,Germany,/marktplatz?tab=0&productId=170,1,1,1,15
2023-10-17,Germany,/login,9,3,2,131
2023-10-17,Germany,/marktplatz?tab=0&attr=118,4,2,2,69
2023-10-17,Germany,/marktplatz?tab=0&productId=154,4,3,3,24
2023-10-17,Germany,/marktplatz?tab=0&productId=203,1,1,1,15
2023-10-17,Germany,/login?tab=0,2,2,1,1
2023-10-17,Germany,/marktplatz?tab=0&category=CONTENT&ptgId=22,1,1,1,1
2023-10-17,Germany,/marktplatz?tab=0&attr=120,1,1,1,1
2023-10-17,Germany,/marktplatz?tab=0&attr=79&attr=117,1,1,1,501
2023-10-17,Germany,/marktplatz?tab=0&attr=79&appSubPro=7&productId=7,1,1,1,1
2023-10-17,Germany,/marktplatz?tab=0&attr=15&attr=2&productId=231,1,1,1,20
2023-10-17,Germany,/marktplatz?tab=0&attr=15&attr=2,1,1,1,12
2023-10-17,Austria,/,2,1,1,22
2023-10-17,Germany,/marktplatz?tab=0&attr=121,1,1,1,8
2023-10-17,Germany,/marktplatz?tab=0&attr=118&productId=14,1,1,1,8
2023-10-17,Germany,/marktplatz?tab=0&attr=79&productId=104,1,1,1,4
2023-10-17,Germany,/marktplatz?tab=0&attr=117&attr=118,1,1,1,31
2023-10-17,Germany,/impressum,1,1,1,5
2023-10-17,Germany,/marktplatz?tab=0&category=APP&productId=304,1,1,1,74
2023-10-17,Germany,/marktplatz?tab=0&appSubPro=143&productId=143,1,1,1,1
2023-10-17,Germany,/marktplatz?tab=0&appSubPro=154&productId=154,1,1,1,1
2023-10-17,Germany,/marktplatz?tab=0&appSubPro=317&productId=317,1,1,1,1
2023-10-17,Germany,/marktplatz?tab=0&attr=79&attr=118,1,1,1,7
2023-10-17,Germany,/marktplatz?tab=0&attr=15,1,1,1,30
2023-10-17,Germany,/marktplatz?tab=0&attr=79&productId=124,1,1,1,12
2023-10-17,Germany,/marktplatz?tab=0&attr=79&productId=210,1,1,1,147
2023-10-17,Germany,/marktplatz?tab=0&attr=79&productId=233,1,1,1,3
2023-10-17,Germany,/marktplatz?tab=0&attr=79&productId=221,1,1,1,3
2023-10-17,Germany,/marktplatz?tab=0&attr=79&productId=236,1,1,1,5
2023-10-17,Germany,/marktplatz?tab=0&attr=79&productId=205,1,1,1,6
2023-10-17,Germany,/marktplatz?tab=0,32,12,8,349
2023-10-17,Germany,/marktplatz?tab=0&attr=79&productId=317,1,1,1,60
2023-10-17,Germany,/marktplatz?tab=0&attr=79&productId=7,1,1,1,10
2023-10-17,Germany,/marktplatz?tab=0&attr=79&productId=181,1,1,1,5
2023-10-17,Germany,/marktplatz?tab=0&attr=79&productId=174,1,1,1,2
2023-10-17,Germany,/marktplatz?tab=0&attr=79&productId=170,1,1,1,3
2023-10-17,Germany,/marktplatz?tab=0&category=APP&attr=14&productId=243,1,1,1,31
2023-10-17,Germany,/marktplatz?tab=0&attr=79&productId=126,1,1,1,6
2023-10-16,Germany,/marktplatz?tab=0&productId=317,1,1,1,108
2023-10-16,Germany,/marktplatz?tab=0&attr=124&productId=289,2,1,1,181
2023-10-16,Germany,/marktplatz?tab=0&ptgId=29,2,2,1,36
2023-10-16,Germany,/marktplatz?tab=1,1,1,1,26
2023-10-16,Germany,/marktplatz?tab=0&ptgId=19,1,1,1,4
2023-10-16,Germany,/marktplatz?tab=0&ptgId=19&ptgId=29,1,1,1,21
2023-10-16,Germany,/marktplatz?tab=0&ptgId=29&ptgId=19,1,1,1,19
2023-10-16,Germany,/marktplatz?tab=0&attr=124&productId=280,2,1,1,180
2023-10-16,Germany,/marktplatz?tab=2,1,1,1,26
2023-10-16,Germany,/login,5,1,1,28
2023-10-16,Switzerland,/marktplatz?tab=2,4,2,1,323
2023-10-16,Germany,/marktplatz?tab=0,9,4,4,211
2023-10-16,Germany,/marktplatz?tab=0&productId=203,1,1,1,39
2023-10-16,Germany,/marktplatz?tab=0&attr=124,8,1,1,210
2023-10-16,Switzerland,/marktplatz?tab=0&orgId=240,2,2,1,2
2023-10-16,Germany,/marktplatz?tab=0&attr=124&productId=317,1,1,1,17
2023-10-16,Germany,/marktplatz?tab=0&attr=124&productId=278,2,1,1,95
2023-10-16,Germany,/marktplatz?tab=0&attr=124&productId=316,1,1,1,4
2023-10-16,France,/marktplatz?tab=0,1,1,1,4
2023-10-16,France,/marktplatz,1,1,1,119
2023-10-16,Germany,/marktplatz?tab=0&attr=124&productId=319,1,1,1,29
2023-10-16,Germany,/marktplatz?tab=0&attr=124&productId=320,1,1,1,12
2023-10-16,Germany,/marktplatz,7,2,2,21
2023-10-16,Germany,/marktplatz?tab=0&attr=124&ptgId=45,1,1,1,3
2023-10-15,Germany,/marktplatz?tab=0,1,1,1,7
2023-10-14,Germany,/marktplatz,1,1,1,1
2023-10-14,Germany,/marktplatz?tab=0,1,1,1,2
2023-10-14,Germany,/marktplatz?tab=0&search=EPLASS%20%20CDE,1,1,1,60
2023-10-14,Germany,/marktplatz?tab=2&search=Dalux%20Germany%20GmbH,1,1,1,18
2023-10-14,Germany,/marktplatz?tab=2&search=Dalux%20Germany%20GmbH&organisationId=229,1,1,1,18
2023-10-14,Germany,/marktplatz?tab=2&search=autodesk,1,1,1,7
2023-10-14,Germany,/marktplatz?tab=2&search=aconex,1,1,1,11
2023-10-14,Germany,/marktplatz?tab=2,2,1,1,24
2023-10-14,Germany,/marktplatz?tab=2&search=conject,1,1,1,22
2023-10-13,Germany,/marktplatz?tab=0&productId=157,1,1,1,8
2023-10-13,Germany,/marktplatz?tab=0&productId=11,1,1,1,245
2023-10-13,Germany,/marktplatz?tab=0&productId=191,1,1,1,30
2023-10-13,Germany,/marktplatz?tab=0&productId=242,1,1,1,169
2023-10-13,Germany,/marktplatz?tab=0&productId=211,1,1,1,4
2023-10-13,Germany,/marktplatz?tab=0&productId=236,1,1,1,12
2023-10-13,Germany,/marktplatz?tab=0&productId=249,1,1,1,39
2023-10-13,Germany,/marktplatz?tab=0&search=oracle&category=APP,2,1,1,63
2023-10-13,Germany,/marktplatz?tab=0&productId=310,1,1,1,93
2023-10-13,Germany,/marktplatz?tab=0&productId=106,1,1,1,16
2023-10-13,Germany,/marktplatz?tab=0&productId=237,8,3,3,49
2023-10-13,Germany,/marktplatz?tab=0&productId=102,1,1,1,18
2023-10-13,Germany,/marktplatz?tab=0&category=APP&ptgId=47&ptgId=2&ptgId=48,1,1,1,1
2023-10-13,Germany,/marktplatz?tab=0&category=APP&ptgId=47&ptgId=2&ptgId=23&ptgId=8&ptgId=41&ptgId=12&ptgId=29&ptgId=43&ptgId=19&ptgId=10,1,1,1,4
2023-10-13,Germany,/marktplatz?tab=0&category=APP&ptgId=47&ptgId=2&ptgId=23&ptgId=8&ptgId=41&ptgId=12&ptgId=29&ptgId=43&ptgId=19,1,1,1,3
2023-10-13,Germany,/marktplatz?tab=0&category=APP&ptgId=47&ptgId=2&ptgId=23&ptgId=8&ptgId=41&ptgId=12&ptgId=29&ptgId=43,1,1,1,10
2023-10-13,Germany,/marktplatz?tab=0&category=APP&ptgId=47&ptgId=2&ptgId=23&ptgId=8&ptgId=41&ptgId=12&ptgId=29,1,1,1,4
2023-10-13,Germany,/marktplatz?tab=0&category=APP&ptgId=47&ptgId=2&ptgId=23&ptgId=8&ptgId=41&ptgId=12,1,1,1,2
2023-10-13,Germany,/marktplatz?tab=0&category=APP&ptgId=47&ptgId=2&ptgId=23&ptgId=8,1,1,1,15
